hhmemberid,seq_num,income,cfps2016eduy_im,age,gender,urban16,provcd16,ethnic,married,party,employ,postsecondary,seniorsecondary,juniorsecondary,primary,illiterate,lninc,exper,exper2,area
130295101,130295,10000,12,30,0,1,13,0,1,0,1,0,1,0,0,0,9.2103405,12,144,1
130297102,130297,0,12,40,1,1,13,0,1,0,1,0,1,0,0,0,,22,484,1
130298101,130298,24000,9,48,1,1,13,0,1,0,1,0,0,1,0,0,10.085809,33,1089,1
130298431,130298,6600,9,27,0,1,13,0,1,0,0,0,0,1,0,0,8.7948246,12,144,1
130299101,130299,0,9,45,1,1,13,0,1,0,1,0,0,1,0,0,,30,900,1
130299102,130299,0,9,46,0,1,13,0,1,0,1,0,0,1,0,0,,31,961,1
130299103,130299,0,9,26,1,1,13,0,1,0,1,0,0,1,0,0,,11,121,1
130299106,100569,720,9,71,0,1,13,0,1,0,1,0,0,1,0,0,6.5792513,56,3136,1
130301101,130301,0,6,57,0,1,13,0,1,0,1,0,0,0,1,0,,45,2025,1
130301102,130301,6000,9,57,1,1,13,0,1,0,1,0,0,1,0,0,8.6995144,42,1764,1
130301103,130301,15000,6,31,1,1,13,0,1,0,1,0,0,0,1,0,9.6158056,19,361,1
130301104,130301,12000,9,30,0,1,13,0,1,0,1,0,0,0,1,0,9.392662,15,225,1
130302101,130302,30000,9,52,0,1,13,0,1,0,1,0,0,1,0,0,10.308952,37,1369,1
130302103,130302,0,0,83,0,1,13,0,1,0,1,0,0,0,0,1,,77,5929,1
130302104,130302,20000,9,52,1,1,13,0,1,0,1,0,0,1,0,0,9.9034872,37,1369,1
130302105,130302,30000,,29,0,1,13,0,1,0,1,1,0,0,0,0,10.308952,,,1
130302106,130302,45000,,26,1,1,13,0,1,0,1,0,0,1,0,0,10.714417,,,1
130305103,130305,0,6,28,0,1,13,0,1,0,1,0,0,0,1,0,,16,256,1
130305104,130305,66000,6,32,1,1,13,0,1,0,1,0,0,0,1,0,11.09741,20,400,1
130306101,130306,0,9,37,0,1,13,0,1,0,1,0,0,1,0,0,,22,484,1
130310101,130310,0,12,62,1,1,13,0,1,0,1,0,1,0,0,0,,44,1936,1
130310104,130310,0,,33,0,1,13,0,1,0,1,0,0,1,0,0,,,,1
130311103,130311,6000,12,24,1,1,13,0,1,0,1,0,1,0,0,0,8.6995144,6,36,1
130311107,701103,0,9,27,0,1,13,0,1,0,1,0,0,1,0,0,,12,144,1
130311501,130311,20000,9,24,0,1,13,0,1,0,1,0,0,1,0,0,9.9034872,9,81,1
130313101,130313,30000,7,47,1,1,13,0,1,0,1,0,0,0,1,0,10.308952,34,1156,1
130313103,130313,0,15,25,0,1,13,0,1,0,1,0,0,1,0,0,,4,16,1
130314101,130314,0,9,49,1,1,13,0,1,0,1,0,0,1,0,0,,34,1156,1
130314102,130314,0,6,49,0,1,13,0,1,0,1,0,0,0,1,0,,37,1369,1
130314103,130314,0,12,27,1,1,13,0,1,0,1,0,1,0,0,0,,9,81,1
130314104,179298,20000,12,25,0,1,13,0,1,0,1,0,1,0,0,0,9.9034872,7,49,1
130314431,130314,0,12,28,0,1,13,0,1,0,1,0,1,0,0,0,,10,100,1
130315101,130315,0,6,44,1,1,13,0,1,0,1,0,0,0,1,0,,32,1024,1
130315103,130315,50000,15,23,1,1,13,0,1,0,1,0,1,0,0,0,10.819778,2,4,1
130316101,130316,26000,1,62,1,1,13,0,1,0,1,0,0,0,0,1,10.165852,55,3025,1
130316103,130316,20000,9,31,1,1,13,0,0,0,1,0,0,1,0,0,9.9034872,16,256,1
130318103,130318,24000,8,26,1,1,13,0,1,0,1,0,0,0,1,0,10.085809,12,144,1
130319102,130319,20000,12,53,0,1,13,0,1,0,1,0,1,0,0,0,9.9034872,35,1225,1
130320102,130320,0,9,37,0,1,13,0,1,0,1,0,0,1,0,0,,22,484,1
130321103,130321,0,9,24,0,1,13,0,1,0,1,0,0,1,0,0,,9,81,1
130321104,130321,0,9,27,0,1,13,0,1,0,1,0,0,1,0,0,,12,144,1
130323101,130323,50000,6,36,1,1,13,0,1,0,1,0,0,0,1,0,10.819778,24,576,1
130323102,130323,0,9,35,0,1,13,0,1,0,1,0,0,1,0,0,,20,400,1
130324102,130324,0,9,53,0,1,13,0,1,0,1,0,0,1,0,0,,38,1444,1
130324103,159998,72000,18,33,0,1,11,0,1,0,1,1,0,0,0,0,11.184422,9,81,1
130324105,130324,12000,15,23,0,1,13,0,0,0,1,0,0,1,0,0,9.392662,2,4,1
130324431,130324,20000,16,30,0,1,13,0,1,0,1,1,0,0,0,0,9.9034872,8,64,1
130328102,130328,4800,9,19,0,0,13,0,0,0,1,0,0,1,0,0,8.4763708,4,16,1
130328104,130328,0,3,43,0,0,13,0,1,0,1,0,0,0,0,1,,34,1156,1
130332102,130332,0,9,45,1,0,13,0,1,0,1,0,0,1,0,0,,30,900,1
130340101,130340,40000,9,47,1,0,13,0,1,0,1,0,0,1,0,0,10.596635,32,1024,1
130340103,314227,60000,12,26,0,1,13,0,1,0,1,0,1,0,0,0,11.0021,8,64,1
130340104,130340,9000,12,24,1,0,13,0,1,0,1,0,1,0,0,0,9.1049795,6,36,1
130342501,130342,12000,9,27,0,0,13,0,1,0,1,0,0,1,0,0,9.392662,12,144,1
130348104,201270,0,7,17,1,0,13,0,0,0,1,0,0,0,0,1,,4,16,1
130370102,130370,0,9,71,0,1,13,0,1,0,1,0,0,1,0,0,,56,3136,1
130381101,130381,27300,9,39,0,1,13,0,1,0,1,0,0,0,1,0,10.214642,24,576,1
130384101,130384,12000,10,46,1,1,13,0,0,0,1,0,0,1,0,0,9.392662,30,900,1
130388105,130388,27000,6,69,0,0,13,0,1,0,1,0,0,0,0,1,10.203592,57,3249,1
130389101,130389,42700,9,42,1,0,13,0,1,0,1,0,0,1,0,0,10.661954,27,729,1
130391105,130391,25000,11,25,1,0,13,0,1,0,1,0,0,1,0,0,10.126631,8,64,1
130391501,130391,9000,12,26,0,0,13,0,1,0,1,0,1,0,0,0,9.1049795,8,64,1
130392101,130392,0,15,68,1,0,13,0,1,1,1,1,0,0,0,0,,47,2209,1
130393105,130393,11300,8,36,0,0,13,0,1,0,1,0,0,0,1,0,9.3325577,22,484,1
130397102,130397,22800,6,43,0,0,13,0,1,0,1,0,0,0,1,0,10.034515,31,961,1
130397103,236588,14000,7,21,0,1,13,0,1,0,1,0,0,0,1,0,9.546813,8,64,1
130399104,130399,20200,12,41,0,0,13,0,1,0,1,0,1,0,0,0,9.9134378,23,529,1
130410101,130410,53000,7,29,1,0,13,0,1,0,1,0,0,0,1,0,10.878047,16,256,1
130410102,130410,0,12,29,0,0,13,0,1,0,1,0,1,0,0,0,,11,121,1
130411501,130411,0,9,24,0,0,13,0,1,0,1,0,0,1,0,0,,9,81,1
130415101,130415,0,7,50,1,0,13,0,1,0,1,0,0,0,1,0,,37,1369,1
130415103,714312,0,12,26,0,1,13,0,1,0,1,0,1,0,0,0,,8,64,1
130416101,130416,0,12,49,0,0,13,0,1,0,1,0,1,0,0,0,,31,961,1
130416103,130416,15000,15,23,0,0,13,0,0,1,1,0,1,0,0,0,9.6158056,2,4,1
130417103,117324,50000,,30,1,0,13,0,1,0,1,0,0,1,0,0,10.819778,,,1
130417104,117324,1000,,29,0,0,13,0,1,0,1,0,0,0,1,0,6.9077554,,,1
130423103,130423,12000,13,19,1,1,13,0,0,0,1,0,0,1,0,0,9.392662,0,0,1
130425103,258713,50000,9,40,1,0,13,0,1,0,1,0,0,1,0,0,10.819778,25,625,1
130425105,258713,30000,9,35,0,0,13,0,1,0,1,0,0,1,0,0,10.308952,20,400,1
130430103,691348,0,0,50,0,0,13,0,1,0,1,0,0,0,0,1,,44,1936,1
130431102,130431,0,7,43,0,0,13,0,1,0,1,0,0,0,1,0,,30,900,1
130432101,130432,0,4,52,0,0,13,0,1,0,1,0,0,0,0,1,,42,1764,1
130432102,130432,0,12,54,1,0,13,0,1,0,1,0,1,0,0,0,,36,1296,1
130433103,130433,80000,6,35,1,0,13,0,1,0,1,0,0,0,1,0,11.289782,23,529,1
